customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_no phone service,MultipleLines_yes,InternetService_fiber optic,InternetService_no,OnlineSecurity_no internet service,OnlineSecurity_yes,OnlineBackup_no internet service,OnlineBackup_yes,DeviceProtection_no internet service,DeviceProtection_yes,TechSupport_no internet service,TechSupport_yes,StreamingTV_no internet service,StreamingTV_yes,StreamingMovies_no internet service,StreamingMovies_yes,Contract_one year,Contract_two year,PaymentMethod_credit card (automatic),PaymentMethod_electronic check,PaymentMethod_mailed check
9445-zueqe,1,0.0,1,1,27.0,1,1,85.2,2151.6,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1091-sozga,0,0.0,1,1,56.0,1,1,99.8,5515.45,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
2928-hldba,0,0.0,0,0,6.0,1,0,20.7,112.75,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0404-swrvg,1,0.0,0,0,3.0,1,1,74.4,229.55,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6497-tilvl,0,0.0,1,1,7.0,1,0,50.7,350.35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7219-tlzho,0,0.0,1,1,4.0,1,0,20.85,62.9,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
4622-ynkij,1,0.0,0,0,33.0,1,1,88.95,3027.65,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
4412-yltkf,0,1.0,0,0,27.0,1,1,78.05,2135.5,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6734-psbaw,1,0.0,1,0,72.0,1,1,23.55,1723.95,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
3930-zgwve,1,0.0,0,0,1.0,1,0,19.75,19.75,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
2639-ugmaz,1,1.0,0,0,71.0,0,1,56.45,3985.35,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
2876-gzyzc,0,0.0,0,0,13.0,1,1,85.95,1215.65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6207-wiolx,0,0.0,1,1,25.0,0,1,58.6,1502.65,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
8587-xyzsf,1,0.0,0,0,67.0,1,0,50.55,3260.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3091-fyhki,1,0.0,0,0,1.0,0,1,35.45,35.45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2372-hwuhi,1,0.0,0,0,2.0,1,0,44.35,81.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7799-lgrdp,0,0.0,0,0,43.0,1,1,25.7,1188.2,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
7850-vwjuu,0,0.0,0,0,23.0,1,1,75.0,1778.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3774-vbnxy,0,0.0,1,1,64.0,1,0,20.2,1277.75,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
6217-kdywc,1,0.0,0,1,57.0,1,1,19.6,1170.55,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0390-dcfdq,0,1.0,1,0,1.0,1,1,70.45,70.45,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3146-msegf,0,1.0,1,1,72.0,1,1,88.05,6425.65,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
4080-ogpjl,0,0.0,0,0,8.0,1,0,71.15,563.65,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1095-wgngg,0,0.0,1,0,61.0,1,1,101.05,5971.25,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
2636-sjdou,1,0.0,0,0,64.0,1,1,84.3,5289.05,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1131-qqzeb,1,1.0,1,0,71.0,1,0,23.95,1756.2,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
5716-ezxzn,0,0.0,1,1,65.0,1,1,99.05,6416.7,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0
6837-bjydq,1,0.0,0,0,3.0,1,0,19.6,61.35,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
2135-rxihg,1,0.0,0,0,1.0,1,1,45.65,45.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6440-dkqge,1,0.0,0,1,30.0,1,0,64.5,1929.95,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
3466-byavd,1,0.0,1,1,15.0,1,1,69.5,1071.4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
3780-yvmfa,0,0.0,1,1,8.0,1,1,68.55,564.35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
3874-eqoep,1,0.0,0,0,7.0,1,0,95.0,655.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1679-jrfbr,0,0.0,1,1,70.0,1,1,108.15,7930.55,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
9073-zziay,1,0.0,1,1,62.0,1,0,86.1,5215.25,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3077-rsntj,0,0.0,1,1,6.0,1,0,19.7,113.5,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
6551-gnydg,0,0.0,1,1,14.0,1,1,80.9,1152.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9167-apmxz,0,0.0,0,0,22.0,1,1,84.15,1821.95,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2749-ctkaj,1,0.0,1,1,22.0,1,0,20.15,419.9,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
6371-nzyeg,1,0.0,1,1,16.0,1,0,64.25,1024.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
7554-newdd,1,0.0,0,0,10.0,1,0,25.7,251.6,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
8992-vonjd,0,0.0,0,1,13.0,1,1,56.0,764.55,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0867-mkzvy,0,0.0,1,0,20.0,1,0,82.4,1592.35,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4482-ewfmi,0,0.0,0,0,2.0,1,1,69.7,135.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4648-ypbtm,1,0.0,0,0,53.0,1,1,73.9,3958.25,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
2907-iljbn,0,0.0,1,1,11.0,1,0,20.6,233.9,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
6345-fzoqh,1,0.0,1,0,69.0,1,0,19.9,1363.45,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
3376-bmgfe,0,0.0,0,0,4.0,1,1,70.9,273.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5997-opvfa,1,0.0,1,0,72.0,1,1,89.05,6254.45,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
3445-hxxgf,1,1.0,1,0,58.0,0,1,45.3,2651.2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1159-wfsgr,0,0.0,1,1,16.0,1,0,20.4,321.4,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
7654-ywjuf,1,0.0,1,0,43.0,1,1,84.25,3539.25,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
