gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,Churn,MultipleLines_no phone service,MultipleLines_yes,InternetService_fiber optic,InternetService_no,OnlineSecurity_no internet service,OnlineSecurity_yes,OnlineBackup_no internet service,OnlineBackup_yes,DeviceProtection_no internet service,DeviceProtection_yes,TechSupport_no internet service,TechSupport_yes,StreamingTV_no internet service,StreamingTV_yes,StreamingMovies_no internet service,StreamingMovies_yes,Contract_one year,Contract_two year,PaymentMethod_credit card (automatic),PaymentMethod_electronic check,PaymentMethod_mailed check
1,0,0,0,-1.277083417686637,1,0,-1.4809354726587878,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,1,-1.277083417686637,1,0,-1.505860221625023,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
1,0,0,0,0.2293324709624702,1,0,1.0048928242404087,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
0,1,1,0,1.3693228731834162,0,0,-0.6384789576000361,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
1,0,1,0,1.4507507590563409,1,1,1.5033878035651138,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,0,0,-1.1142276459407876,0,0,-1.3446801783100353,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,1.6136065308021903,1,1,1.308974761628479,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
0,0,0,0,-0.014951186656303928,0,0,-1.1502671363734,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0.432902185644782,1,0,0.9832913751363379,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
1,0,1,1,1.6136065308021903,1,0,-1.5075218715561054,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,0,1,0,0.9214695008823303,1,1,1.063050571828291,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0.7993276720729432,1,0,-0.22638977469161303,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
0,0,0,0,0.432902185644782,1,1,0.8935622788578914,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,1,0,0.18861852802600784,1,1,0.39008234973993894,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,1.2878949873104915,0,1,-0.33772032007413055,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
1,0,1,1,-1.1956555318137123,1,0,0.8337428813389264,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0.1479045850895455,0,0,-1.1203574376139178,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,-0.9106579312584757,1,1,1.1793660670040556,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,0.3514742997718573,1,0,-1.4659806232790467,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,0,1,1,-0.2185209013386157,1,1,0.679209437748268,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0.9621834438187926,1,1,1.1644112176243142,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
0,0,0,0,-1.0735137030043251,1,0,-1.4643189733479642,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,0,0,-1.1956555318137123,1,1,0.32029305263448044,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,-1.032799760067863,1,0,-0.46732901469855387,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,-1.1549415888772498,1,0,-1.4593340235547172,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,0,0,0.02576275628015843,1,1,0.8038331825794444,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
0,1,0,0,-0.2185209013386157,1,1,0.4415934976034917,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,1.6136065308021903,1,1,-1.3696049272762705,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,-1.277083417686637,1,0,-1.495890322038529,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,1,0,0,1.572892587865728,0,1,-0.27623927262408354,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
0,0,0,0,-0.7885161024490887,1,1,0.7041341867145033,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,1,-0.29994878721154045,0,1,-0.2047883255875425,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,1.4100368161198786,1,0,-0.47231396449180113,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,-1.277083417686637,0,1,-0.9741322436786708,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,-1.2363694747501746,1,0,-0.6783585559460125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0.432902185644782,1,1,-1.298153980239729,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,0,0,0,-0.38137667308446516,1,1,0.34023285180746843,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1.2878949873104915,1,0,-1.4809354726587878,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,0,0,1,1.002897386755255,1,1,-1.500875271831776,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,1,1,0,-1.277083417686637,1,1,0.18902270807897462,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,1.6136065308021903,1,1,0.7739234838199618,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,0,-0.9920858171314004,1,0,0.21228580711412762,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,1,0,1.1657531585011045,1,1,1.205952465901373,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0,1.2878949873104915,1,1,0.6492997389887856,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,1.572892587865728,1,0,-1.3563117278276113,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0,1,1,1.328608930246954,1,1,1.139486468658079,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0
1,0,0,0,-1.1956555318137123,1,0,-1.500875271831776,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,0,0,-1.277083417686637,1,1,-0.6351556577378714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,-0.09637907252922864,1,0,-0.008713633719825196,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
1,0,1,1,-0.7070882165761639,1,1,0.15745135938840987,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
0,0,1,1,-0.9920858171314004,1,1,0.1258800106978451,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,-1.032799760067863,1,0,1.0048928242404087,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,1,1,1.5321786449292656,1,1,1.4419067561150671,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
1,0,1,1,1.2064671014375667,1,0,0.70911913650775,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,0,1,1,-1.0735137030043251,1,0,-1.4975519719696113,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,1,-0.7478021595126263,1,1,0.536307543675186,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,-0.4220906160209275,1,1,0.6443147891955388,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,1,-0.4220906160209275,1,0,-1.4825971225898702,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,1,1,-0.6663742736397016,1,0,-0.01702188337523695,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1,0,0,0,-0.9106579312584757,1,0,-1.298153980239729,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0,0,1,-0.7885161024490887,1,1,-0.2911941220038248,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,-0.5035185018938522,1,0,0.5861570416076565,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,-1.2363694747501746,1,1,0.16409795911273936,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0.8400416150094056,1,1,0.3036765533236569,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
0,0,1,1,-0.8699439883220134,1,0,-1.467642273210129,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,1,0,1.4914647019928033,1,0,-1.490905372245282,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,0,0,0,-1.1549415888772498,1,1,0.20397755745871587,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1.6136065308021903,1,1,0.8071564824416089,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,1,1,0,1.0436113296917173,0,1,-0.6467872072554479,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,1,1,-0.6663742736397016,1,0,-1.4742888729344585,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
1,0,1,0,0.432902185644782,1,1,0.6476380890577033,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,0,1,0,-1.2363694747501746,1,1,1.3172830112838907,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,1,0,-0.7478021595126263,1,0,0.5712021922279152,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0,1,0,0.8400416150094056,1,1,0.9999078744471614,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
0,0,0,0,-0.014951186656303928,1,0,-1.4693039231412115,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,0,1,0,0.06647669921662078,1,0,-1.3313869788613761,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,1,0,0,-0.7070882165761639,1,1,0.3219547025655627,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,-1.032799760067863,1,0,0.3884206998088567,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,-0.7070882165761639,1,1,1.3488543599744551,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,1,0,1.1657531585011045,1,1,-1.4693039231412115,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
